Country ,# of Subscribers - 2019,# of Subscribers - Q1 2020,Average Monthly Revenue per Paying Membership - Q1 2020 ($),Q1 2020 Revenue ($),# of Subscribers Q2 2020 ,Average Monthly Revenue per Paying Membership - Q2 2020 ($),Q2 2020 Revenue $ ,# of Subscribers Q3 2020 (Estimate),Q3 2020 Revenue $ (Estimate),,,Source,,,,
Japan,"3,000,000","3,665,700",8.94,"98,314,074","4,156,904",8.96,"111,737,574","4,210,764","113,185,327",,,https://www.businessinsider.jp/post-200962,Sept 2019,,,
Netherlands,"2,800,000","3,176,040",10.40,"99,092,448","3,324,679",10.50,"104,727,378","3,367,756","106,084,301",,,https://www.telecompaper.com/news/netflix-subscriber-growth-accelerates-in-q1-in-netherlands--1335270,Q1 2020,,,
South Korea,"2,720,000","3,323,568",8.94,"89,138,094","3,768,926",8.96,"101,308,734","3,817,759","102,621,363",,,https://www.koreatimes.co.kr/www/art/2020/05/689_288778.html,Apr 2020,,"https://en.yna.co.kr/view/AEN20191112005500320
https://en.yna.co.kr/view/AEN20200406004600315",Nov 2019 - surge from 2m then due to pandemic 
New Zealand,"2,420,000","2,956,998",8.94,"79,306,686","3,353,236",8.96,"90,134,976","3,396,683","91,302,830",,,http://www.roymorgan.com/findings/8357-new-zealand-pay-tv-services-december-2019-202004060257,Apr 2020,,,
Sweden,"2,100,000","2,382,030",10.40,"74,319,336","2,493,509",10.50,"78,545,534","2,525,817","79,563,226",,,https://www.mediavision.se/newsletter-22nd-of-april-netflix-strong-subscriber-growth-but-not-in-sweden/,Apr 2020,,,
India,"2,000,000","2,443,800",8.94,"65,542,716","2,771,269",8.96,"74,491,716","2,807,176","75,456,884",,,https://www.hollywoodreporter.com/news/netflix-invest-400m-indian-content-says-ceo-reed-hastings-1260159,Jun 2019,https://www.fool.com/investing/2020/01/12/netflixs-mobile-only-plan-is-a-hit.aspx,,
Italy,"2,000,000","2,268,600",10.40,"70,780,320","2,374,770",10.50,"74,805,270","2,405,540","75,774,501",,,"https://www.thelocal.it/20200127/netflix-to-open-italian-base-in-rome
https://multiplayer.it/notizie/netflix-svelato-numero-abbonati-italia.html",Dec 2019,,,
Turkey,"1,500,000","1,701,450",10.40,"53,085,240","1,781,078",10.50,"56,103,953","1,804,155","56,830,876",,,"https://www.reuters.com/article/us-netflix-turkey/netflix-applies-for-license-under-new-turkish-broadcasting-rules-idUSKCN1VO14R#:~:text=Netflix%20serves%201.5%20million%20subscribers,new%20subscribers%20as%20competition%20mounts.",Sept 2019,,,
Norway,"1,000,000","1,134,300",10.40,"35,390,160","1,187,385",10.50,"37,402,635","1,202,770","37,887,251",,,https://www.futuresource-consulting.com/press-release/media-entertainment-press/netflix-hbo-tv2-sumo-viaplay-differing-service-strategies-creating-a-thriving-svod-market/,Jun 2019,,,
Poland,"775,000","879,083",10.40,"27,427,374","920,224",10.50,"28,987,042","932,147","29,362,619",,,https://screenlovers.pl/o-polskich-subskrypcjach-z-serialami-w-tle-raport-z-frontu-svod/,Feb 2019,,,
Chile,"769,000","839,979",8.05,"20,285,486","882,818",7.44,"19,704,489","894,256","19,959,795",,,https://www.digitaltvresearch.com/ugc/Latin%20America%20OTT%20TV%20and%20Video%20Forecasts%202018%20TOC_toc_210.pdf,Estimated figure for 2019,,,
UAE,"322,000","365,245",10.40,"11,395,632","382,338",10.50,"12,043,648","387,292","12,199,695",,,https://www.digitaltvresearch.com/ugc/press/239.pdf,322k - estimate for 2019 from 2017,https://gulfnews.com/business/even-for-web-streaming-tv-matters-in-the-uae-1.62586921,"""over 300k""",
Costa Rica,"242,000","264,337",8.05,"6,383,729","277,818",7.44,"6,200,893","281,417","6,281,236",,,https://www.globenewswire.com/news-release/2020/03/11/1998700/0/en/Latin-American-OTT-TV-and-Video-Insights-2010-2025-by-Household-Penetration-SVOD-Subscribers-and-OTT-Revenues-for-Movies-TV-Episodes.html,Estimate for end 2019,,,
,,,,,,,,,,,,,,,,
,,"163,086,107",,"5,362,262,344","172,103,410",,"5,638,766,532","174,333,305","5,711,826,451",,,,,,,
